                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0654,                  2.438,                 1.4142,                0.64647,                0.64479,                0.63293,                0.41661,                0.99003,                 1.2113,                 1.3377,              0.0033319,              0.0033319,              0.0033319
                      2,                0.98746,                 1.3166,                 1.3397,                0.70886,                0.64551,                 0.7295,                0.45415,                 1.0121,                 1.0879,                 1.3879,              0.0066103,              0.0066103,              0.0066103
                      3,                 1.0655,                 1.4391,                 1.4002,                0.79756,                0.56124,                0.66356,                0.42064,                 1.0945,                 1.2252,                 1.4348,              0.0098336,              0.0098336,              0.0098336
                      4,                 1.1339,                 1.4926,                  1.446,                0.57618,                0.62148,                 0.6612,                0.42069,                 1.0452,                 1.1296,                 1.4064,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.0745,                 1.3487,                 1.4031,                 0.7968,                0.64354,                0.72622,                0.45979,                 1.0111,                 1.0163,                  1.385,              0.0097525,              0.0097525,              0.0097525
                      6,                 1.0308,                 1.2122,                  1.378,                0.80491,                0.73765,                0.77217,                0.50968,                0.98449,                0.85812,                 1.3358,                0.00967,                0.00967,                0.00967
                      7,                 1.0109,                 1.1531,                 1.3562,                0.87072,                0.70037,                0.80451,                0.52724,                0.96272,                0.84139,                 1.3359,              0.0095875,              0.0095875,              0.0095875
                      8,                0.99084,                 1.0802,                 1.3432,                0.85908,                0.70187,                0.81256,                0.53104,                0.98877,                0.81893,                 1.3393,               0.009505,               0.009505,               0.009505
                      9,                0.97074,                 1.0298,                 1.3261,                0.88809,                 0.7404,                0.80772,                 0.5476,                0.90946,                0.75062,                 1.2966,              0.0094225,              0.0094225,              0.0094225
                     10,                0.94962,                0.98882,                 1.3164,                0.82403,                 0.7946,                0.81058,                0.55659,                0.90967,                0.73538,                 1.3029,                0.00934,                0.00934,                0.00934
                     11,                0.93717,                0.96542,                 1.3051,                0.86259,                0.77351,                0.83964,                0.54808,                0.91555,                0.73126,                 1.3023,              0.0092575,              0.0092575,              0.0092575
                     12,                0.92613,                0.93752,                 1.3018,                 0.9094,                0.79334,                0.84814,                0.57634,                0.90382,                0.67893,                 1.2864,               0.009175,               0.009175,               0.009175
                     13,                0.91864,                0.91135,                 1.2905,                0.83625,                 0.8001,                0.82375,                0.57376,                0.87861,                0.67345,                 1.2692,              0.0090925,              0.0090925,              0.0090925
                     14,                0.90484,                 0.8919,                 1.2828,                 0.8547,                0.79299,                0.90084,                0.58696,                0.88245,                0.65247,                 1.2732,                0.00901,                0.00901,                0.00901
                     15,                0.89455,                 0.8781,                 1.2788,                0.91197,                 0.7309,                0.84499,                0.57861,                0.86492,                0.65815,                 1.2592,              0.0089275,              0.0089275,              0.0089275
                     16,                0.89458,                0.85162,                 1.2736,                   0.92,                0.74685,                0.83634,                0.57626,                0.85478,                0.63694,                 1.2483,               0.008845,               0.008845,               0.008845
                     17,                0.87455,                 0.8337,                 1.2596,                0.91708,                0.83819,                0.93326,                0.61394,                0.86107,                0.60331,                 1.2506,              0.0087625,              0.0087625,              0.0087625
                     18,                 0.8675,                 0.8153,                 1.2557,                0.92208,                0.81832,                0.93774,                0.60637,                0.85104,                0.59847,                 1.2444,                0.00868,                0.00868,                0.00868
